state,plan,indPrem,famPrem,indEnr,famEnr
AL,AA,235.82,470.41,93,321
AL,DF,167.64,429.11,824,1508
AL,NJ,169.72,410.74,483,789
AL,NL,180.52,424.32,174,338
AL,NS,164.48,416.91,285,438
AL,NY,179.6,422.05,421,785
AL,PY,186.16,521.32,213,54
AZ,16,152.64,435.07,1950,2727
AZ,A3,151.08,422.5,1388,2453
AZ,A7,129.12,374.48,1639,4018
AZ,B1,164.28,437.08,598,644
AZ,DY,154.04,440.31,539,455
AZ,TD,138.96,389.12,289,785
CA,59,170.64,396.36,36312,52362
CA,61,208.35,512.72,630,669
CA,62,180.12,445.58,26774,38149
CA,66,163.88,466.57,3193,2179
CA,BE,171.6,466.31,929,1155
CA,BG,149.6,415.5,472,775
CA,BU,175.32,412.56,1053,1070
CA,C4,177.28,463.1,30,10
CA,C6,189.3,463.15,3391,3802
CA,CC,174.32,411.99,1556,2612
CA,CD,175.04,444.04,761,1258
CA,CF,177.6,420.96,1072,2844
CA,CL,176,416.3,68,68
CA,CM,141.24,366.88,404,456
CA,CQ,152.2,394.44,1415,2278
CA,CW,200.24,500.65,425,450
CA,CX,151.52,393.56,371,520
CA,CY,183.64,475.52,5564,4585
CA,HN,162.88,426.47,421,775
CA,LB,163.36,416.33,5205,7752
CA,LC,163.48,418.54,1285,1635
CA,M5,149.84,382.16,1966,3352
CA,MN,161.56,400.92,58,244
CA,NI,154.96,416.87,83,48
CA,RC,173.12,433.23,214,719
CA,RG,181,483.28,226,220
CA,SJ,170.28,422.54,224,117
CA,SK,238.42,586.52,341,235
CO,65,144.56,367.2,4454,6674
CO,88,184.72,431.99,297,924
CO,D6,163.44,418.97,5468,8403
CO,D6,137,353.56,618,1461
CO,DD,158.88,397.28,1100,2942
CO,L2,159.2,407.03,489,701
CO,MT,164.12,429.89,76,186
CT,71,228.24,546.95,702,605
CT,DM,181,441.68,360,685
CT,DP,224.12,555.25,1274,1519
CT,H1,209.06,557.03,1313,771
DC,50,211.27,504.94,9958,7575
DC,50,131.8,332.52,4860,4921
DC,E3,154.2,412.3,18348,23567
DC,E5,204.79,443.04,8199,4810
DC,E5,153.84,330,1498,482
DC,HD,158.96,410.24,985,337
DE,MR,180.12,474.35,84,78
DE,NK,202.56,555.4,292,319
DE,SP,208.82,541,385,502
FL,C2,172.2,464.88,421,633
FL,D5,168.52,403.08,201,207
FL,D7,146.04,383.56,123,74
FL,E8,146.64,395.96,436,652
FL,EA,149.72,399.88,161,511
FL,EC,146.2,401.96,852,1980
FL,EE,130.08,371.72,1194,2737
FL,EH,134.8,377.52,271,698
FL,EJ,171.84,474.78,324,180
FL,EM,209.47,576.1,559,447
FL,EN,198.51,548.88,266,168
FL,FH,148.2,415.05,209,349
FL,FN,153.04,408.66,35,130
FL,FQ,135.76,350.36,63,222
FL,FR,171,460.11,254,399
FL,GP,182.44,501.69,136,197
FL,H5,173.24,476.47,189,238
FL,HE,154.88,433.53,74,67
FL,HW,169.88,467.22,388,221
FL,JF,165.72,455.72,142,214
FL,JH,137.88,394,763,1735
FL,K7,196.52,554.86,181,154
FL,P5,125.16,350.36,263,698
FL,P7,149.88,419.64,166,326
FL,PJ,144.64,376.08,30,85
GA,CR,194.11,492.14,599,519
GA,EZ,144.52,416.22,1094,1807
GA,F3,179.48,448.74,851,936
GA,F8,160,437.36,3318,4869
GU,28,120.76,360.4,130,469
GU,JK,147.2,436.71,653,1968
GU,ZA,153.32,412.45,357,1011
GU,ZA,112.44,315.48,20,69
HI,63,187.79,435.67,3944,5443
HI,63,148.16,330.4,147,98
HI,87,155.72,412.73,10161,15188
HI,F6,166.76,467.91,482,543
HI,F9,172.64,413.79,116,99
IA,56,182.12,548.6,217,176
IA,GS,180.8,406.86,311,805
ID,GM,180.92,430.71,286,450
IL,17,155.88,437.45,1273,1409
IL,75,129.96,363.88,3411,5503
IL,76,183.92,478.16,138,169
IL,AC,148.84,416.74,66,79
IL,EU,157.48,440.92,155,447
IL,FJ,149.64,419.64,3066,3535
IL,FP,176.72,397.56,817,2322
IL,FV,133.72,371,254,447
IL,FX,169.96,408.59,733,1424
IL,FY,178.28,454.57,393,950
IL,GE,150.08,401.96,279,622
IL,GQ,182.92,475.56,192,234
IL,JL,201.15,545.44,149,153
IL,LF,179.28,462.19,526,776
IL,LG,225.25,607.3,571,426
IL,LH,137.24,352.12,129,379
IN,G2,180.32,468.78,82,208
IN,GH,175.64,491.77,1120,1013
IN,GK,132.8,381.84,1700,1648
IN,H3,163.44,444.93,93,304
IN,IN,142.76,418.1,92,470
IN,MC,179.48,459.38,49,150
KS,HA,149.16,410.19,1251,2561
KS,HM,159.84,431.84,371,1189
KY,18,146,414.61,588,1065
KY,D2,146.84,418.49,1414,3133
KY,DU,160.6,431.6,581,1113
KY,HR,127.8,355.32,446,1044
LA,JA,166.12,422.98,436,667
LA,LY,158.68,430.37,24,67
LA,NG,161.84,452.16,22,17
LA,RP,161.04,434.79,560,1253
LA,RY,166.88,450.62,92,339
LA,S6,154.52,417.19,55,176
LA,S8,176.2,451.1,51,96
MA,68,184.56,500.35,4384,2685
MA,DJ,198.06,437.65,399,1260
MA,J1,189.04,490.82,262,323
MA,JU,212.83,595.88,814,832
MA,JV,146.12,381.16,694,1523
MA,K1,203.34,447.33,282,543
MA,KW,242.45,654.64,2128,1834
MA,NE,202.19,539.33,2098,1983
MD,67,160.44,433.2,4125,3611
MD,BL,147.72,396.8,700,1473
MD,DS,203.13,497.73,216,164
MD,E7,145.28,395.32,644,903
MD,JB,143.36,372.36,3059,4096
MD,JM,174.84,454.61,1007,589
MD,JN,183.52,431.28,9192,14611
MD,JN,128.64,302.36,1555,1408
MD,JP,151.68,428.52,8964,11718
MD,JQ,161.28,427.44,2585,4077
MD,JW,167.72,394.16,679,1486
MD,JW,117.68,276.56,176,188
MD,LD,170.68,461.15,2576,1625
ME,CU,237.14,585.98,117,167
ME,MY,215.82,509.41,57,100
MI,52,158.2,411.39,2332,3859
MI,BA,142.68,387.76,164,531
MI,BQ,147,406.88,77,202
MI,EG,185.64,464.19,259,427
MI,FE,163.88,440.22,87,167
MI,G7,184.72,469.24,58,190
MI,K3,169.08,422.74,272,517
MI,K5,160.6,401.56,166,466
MI,K6,162.76,431.34,1195,2495
MI,KA,169.44,418.17,570,981
MI,KF,162.08,449.54,375,594
MI,KN,160.36,481.04,133,174
MI,KR,130.12,378.04,145,352
MI,KZ,189.97,493.5,355,283
MI,LN,191.19,459.49,411,543
MI,LX,133.36,444.28,971,620
MI,N2,160.8,397.52,48,71
MI,RL,150.92,419.81,9,22
MN,11,128.2,361.08,1282,2299
MN,53,136.08,392.2,2656,5808
MN,53,104.16,300.16,328,261
MN,DR,156.84,426.08,2469,3322
MO,12,199.16,433.68,800,1218
MO,H8,191.99,441.57,858,1973
MO,M4,183.52,458.9,1533,2541
MO,MM,175.64,439.08,1472,1991
MO,MS,162.16,434.7,1665,2025
MO,MS,150.92,406.21,55,204
MO,N3,161.6,437.93,336,691
MO,RN,173.36,428.85,274,362
NC,Q4,132.8,371.88,138,399
NC,Q5,161.12,423.65,276,484
NC,QT,148.4,382,989,2191
NC,RQ,176.68,450.54,112,171
ND,RU,134,370.52,10,17
NE,GU,150.28,405.86,419,1031
NE,NF,177.24,416.54,255,565
NH,NX,183.48,489.93,544,887
NJ,E4,228.58,594.3,323,305
NJ,GD,186.51,494.09,57,118
NJ,P3,222.91,591.67,7155,6493
NJ,P3,191.23,502.69,324,598
NJ,P4,217.47,559.3,1091,1616
NJ,P9,196.82,501.32,1386,2755
NM,P2,150.64,389.92,688,1377
NM,PX,145.44,380.76,478,1132
NM,Q1,143.2,372.4,2578,5281
NV,NM,165.6,389.2,842,1286
NV,TL,138.6,388.04,39,77
NY,15,206.74,541.15,155,34
NY,51,175.36,440.2,7287,10110
NY,80,168.24,437.45,27911,23908
NY,AH,201.28,503.51,96,80
NY,C1,185.68,491.94,117,217
NY,CE,184.44,466.66,114,271
NY,EB,187.16,477.45,214,663
NY,F4,160.12,416.48,33,125
NY,GA,138.8,358.36,277,535
NY,GC,186.51,473.07,82,70
NY,GV,140.08,355.12,465,1579
NY,HK,157.48,425.14,794,1895
NY,HU,163.04,444.43,123,250
NY,J6,187.74,490.77,221,383
NY,J7,163.56,445.4,701,2718
NY,JC,172.36,430.39,3758,7934
NY,M9,135.2,349.08,292,1459
NY,MK,138.76,354.56,303,782
NY,MX,192.18,491.44,120,106
NY,PD,211.42,555.69,124,66
NY,PW,163.8,422.74,1143,2853
NY,Q8,138.04,371.44,459,1098
NY,QA,120.48,337.16,582,2058
NY,QB,171.44,450.17,304,447
NY,QE,172.12,447.7,246,666
NY,QH,188.15,415.83,198,354
NY,S1,167.84,438.9,80,262
NY,S2,158.84,417.91,180,223
NY,S7,158.8,417.63,704,536
NY,SG,173.36,463.75,717,1106
NY,SH,167.64,424.19,71,260
OH,64,186.72,436.97,1810,2838
OH,AY,166.68,431.9,584,1075
OH,EV,168.44,471.53,194,113
OH,L4,157.2,402.12,940,1251
OH,MD,141.04,371.16,84,320
OH,MG,152.24,392,428,1180
OH,OH,164.6,421.07,105,49
OH,PL,182.16,452.68,50,125
OH,R4,172.32,430.8,952,1711
OH,R5,179,460.72,2218,2346
OH,R8,174.64,427.79,1264,2967
OH,RD,183.96,470.23,258,823
OH,RF,157.04,421.55,92,179
OH,RH,182.8,470.36,3506,4699
OH,SQ,176.88,443.13,465,194
OH,U4,175.36,438.01,81,292
OK,N1,136.24,356.48,306,835
OK,N5,176,439.66,901,2271
OK,PE,163.56,415.5,977,2241
OK,RR,153.68,375.96,1485,2128
OK,RS,164.96,445.36,175,393
OK,RT,163.2,435.33,102,293
OK,RX,216.34,497.51,55,112
OR,57,178.76,427.68,4703,7017
OR,57,156.48,397.64,891,1784
OR,AF,134.8,353.08,381,577
OR,SD,142.48,352.84,510,907
OR,SS,165.36,391.52,521,851
PA,24,168.36,462.61,406,680
PA,26,142.6,399.32,1960,4254
PA,27,174.52,456.41,953,1445
PA,C8,139.96,359.92,314,1012
PA,CT,161.88,394.32,183,360
PA,ED,171.6,453.7,5338,8841
PA,EF,148.16,435.89,208,534
PA,HG,147,387.64,69,304
PA,KJ,172.12,418.77,96,266
PA,KL,158.8,423.5,717,1356
PA,KL,141,373,7,35
PA,N9,102.04,325.92,1415,3654
PA,NQ,140.24,382.92,119,318
PA,S4,153.04,377.36,177,388
PA,ST,152.96,417.34,42,96
PA,SU,175.92,455.28,9849,15129
PA,SU,142.32,367.28,228,401
PA,SW,146.92,383.24,1449,2882
PR,89,138.04,306.6,4247,15505
RI,70,153.4,369.92,1589,2414
RI,DA,181.36,435.26,584,839
SC,M3,176.28,440.72,318,590
SC,SE,184.88,499.11,264,699
SC,TA,170.6,408.4,273,397
TN,HT,143.76,438.12,130,416
TN,SR,181.32,456.95,450,530
TN,UA,157,442.76,321,719
TN,UB,132.6,404.52,779,1552
TX,CK,216.02,464.73,139,478
TX,GF,143.6,402.08,1350,1680
TX,SC,241.52,519.03,408,1228
TX,T5,166.56,431.25,275,442
TX,TS,172.96,484.58,173,111
TX,TW,165.84,454.44,1556,2382
TX,TX,134,404.71,653,2497
TX,UF,179.36,466.96,2197,3491
TX,UK,164.92,439.44,1615,3960
TX,UM,184.88,480.72,681,1274
TX,UN,148.24,399.88,1487,2084
TX,UP,134.96,392.44,1628,3519
TX,UR,150.2,385.92,4004,8712
TX,V2,173.4,436.22,1044,3063
UT,KU,141.96,399.76,1544,2695
UT,UT,190.15,408.79,245,941
VA,V5,187.74,403.08,1973,4293
VA,V6,128.52,368.88,255,521
VA,V7,151.12,429.24,377,423
VA,V8,139.56,362.32,4436,3814
VA,V9,220.05,482.24,929,1970
VA,V9,103.56,393.72,1021,1696
VA,W2,181,486.68,669,697
VA,W3,176.56,474.74,731,1191
VA,X8,162.76,454.05,486,468
VA,X9,184.48,516.27,479,160
WA,54,221.93,532.76,8663,10966
WA,54,162.64,376.44,1170,4451
WA,TM,155.64,407.7,1322,2326
WA,VR,166.92,425.77,1103,2494
WA,VT,281.88,601.25,882,1027
WA,VT,167.64,357.76,1107,1598
WA,WB,142.04,382.92,567,617
WI,29,161.68,420.46,113,176
WI,69,171.56,444.54,1355,2319
WI,CV,145.52,430.17,105,397
WI,W4,178.64,476.97,214,690
WI,WC,145.12,388.12,95,172
WI,WD,142.36,384.28,770,1724
WI,WG,141.12,364.12,47,88
WI,WH,156.12,405.08,657,1264
WI,WJ,140.36,374.8,389,611
WI,WK,166,414.96,382,420
WI,WT,188.52,487.28,71,186
WI,X1,175.24,460.33,328,893
