state,expPerAdm,pop,region
AL,4455,4041,SC
AZ,5212,3665,MT
CA,6169,29760,PA
CO,5449,3294,MT
CT,6696,3287,NE
DC,7743,607,SA
DE,5748,666,SA
FL,5831,12938,SA
GA,4677,6478,SA
GU,2011,133,PA
HI,6553,1108,PA
IA,4527,2777,NC
ID,4026,1007,MT
IL,5570,11431,NC
IN,4879,5544,NC
KS,4548,2478,NC
KY,4216,3685,SC
LA,5044,4220,SC
MA,6086,6016,NE
MD,4835,4781,SA
ME,4867,1228,NE
MI,5750,9295,NC
MN,5035,4375,NC
MO,5429,5117,NC
NC,4759,6629,SA
ND,4898,639,NC
NE,5214,1578,NC
NH,4995,1109,NE
NJ,5136,7730,MA
NM,4583,1515,MT
NV,5883,1202,MT
NY,6823,17990,MA
OH,5133,10847,NC
OK,4547,3146,SC
OR,4787,2842,PA
PA,5490,11882,MA
PR,1942,3522,SA
RI,5063,1003,NE
SC,4868,3487,SA
TN,4859,4877,SC
TX,5179,16987,SC
UT,4688,1723,MT
VA,4875,6187,SA
WA,5035,4867,PA
WI,4450,4892,NC
